disease,main_link,Diagnosis_treatment_link,Doctors_departments_link,Diagnosis,Treatment,Coping and support,Preparing for your appointment
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,https://www.mayoclinic.org/diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883,,"Signs and symptoms ofADHDin adults can be hard to spot. However, core symptoms start early in life — before age 12 — and continue into adulthood, creating major problems.
No single test can confirm the diagnosis. Making the diagnosis will likely include:
Physical exam,to help rule out other possible causes for your symptoms
Information gathering,such as asking you questions about any current medical issues, personal and family medical history, and the history of your symptoms
ADHDrating scales or psychological teststo help collect and evaluate information about your symptoms","Standard treatments forADHDin adults typically involve medication, education, skills training and psychological counseling. A combination of these is often the most effective treatment. These treatments can help manage many symptoms ofADHD, but they don't cure it. It may take some time to determine what works best for you.","While treatment can make a big difference withADHD, taking other steps can help you understandADHDand learn to manage it. Some resources that may help you are listed below. Ask your health care team for more advice on resources.
Support groups.Support groups allow you to meet other people withADHDso that you can share experiences, information and coping strategies. These groups are available in person in many communities and also online.
Social support.Involve your spouse, close relatives and friends in yourADHDtreatment. You may feel reluctant to let people know you haveADHD, but letting others know what's going on can help them understand you better and improve your relationships.
Co-workers, supervisors and teachers.ADHDcan make work and school a challenge. You may feel embarrassed telling your boss or professor that you haveADHD, but most likely he or she will be willing to make small accommodations to help you succeed. Ask for what you need to improve your performance, such as more in-depth explanations or more time on certain tasks.","You're likely to start by first talking to your primary care provider. Depending on the results of the initial evaluation, he or she may refer you to a specialist, such as a psychologist, psychiatrist or other mental health professional."
Frozen shoulder,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/diagnosis-treatment/drc-20372690,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/doctors-departments/ddc-20372691,"During the physical exam, a health care provider might ask you to move your arm in certain ways. This is to check for pain and see how far you can move your arm (active range of motion). Then you might be asked to relax your muscles while the provider moves your arm (passive range of motion). Frozen shoulder affects both active and passive range of motion.
Frozen shoulder can usually be diagnosed from signs and symptoms alone. But imaging tests — such as X-rays, ultrasound or MRI — can rule out other problems.",Most frozen shoulder treatment involves controlling shoulder pain and preserving as much range of motion in the shoulder as possible.,,"You might first see your primary care provider. In some cases, you may be referred to a doctor who specializes in treating bones and muscles (orthopedist or physiatrist)."
Childhood schizophrenia,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/diagnosis-treatment/drc-20354489,,"Diagnosis of childhood schizophrenia involves ruling out other mental health disorders and determining that symptoms aren't due to alcohol or drug use, medication or a medical condition. The process of diagnosis may involve:
Physical exam.This may be done to help rule out other problems that could be causing symptoms and to check for any related complications.
Tests and screenings.These may include tests that help rule out conditions with similar symptoms, and screening for alcohol and drugs. The doctor may also request imaging studies, such as an MRI or CT scan.
Psychiatric evaluation.This includes observing appearance and demeanor, asking about thoughts, feelings and behavior patterns, including any thoughts of self-harm or harming others, evaluating ability to think and function at an age-appropriate level, and assessing mood, anxiety and possible psychotic symptoms. This also includes a discussion of family and personal history.
Diagnostic criteria for schizophrenia.Your doctor or mental health professional may use the criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), published by the American Psychiatric Association.","Schizophrenia in children requires lifelong treatment, even during periods when symptoms seem to go away. Treatment is a particular challenge for children with schizophrenia.","Coping with childhood schizophrenia can be challenging. Medications can have unwanted side effects, and you, your child and your whole family may feel angry or resentful about having to manage a condition that requires lifelong treatment. To help cope with childhood schizophrenia:
Learn about the condition.Education about schizophrenia can empower you and your child and motivate him or her to stick to the treatment plan. Education can help friends and family understand the condition and be more compassionate with your child.
Join a support group.Support groups for people with schizophrenia can help you reach out to other families facing similar challenges. You may want to seek out separate groups for you and for your child so that you each have a safe outlet.
Get professional help.If you as a parent or guardian feel overwhelmed and distressed by your child's condition, consider seeking help for yourself from a mental health professional.
Stay focused on goals.Dealing with childhood schizophrenia is an ongoing process. Stay motivated as a family by keeping treatment goals in mind.
Find healthy outlets.Explore healthy ways your whole family can channel energy or frustration, such as hobbies, exercise and recreational activities.
Make healthy lifestyle choices.Maintaining a regular schedule that includes sufficient sleep, healthy eating and regular physical activity is important to mental health.
Take time as individuals.Although managing childhood schizophrenia is a family affair, both children and parents need their own time to cope and unwind. Create opportunities for healthy alone time.
Begin future planning.Ask about social service assistance. Most individuals with schizophrenia require some form of daily living support. Many communities have programs to help people with schizophrenia with jobs, affordable housing, transportation, self-help groups, other daily activities and crisis situations. A case manager or someone on the treatment team can help find resources.","You're likely to start by first having your child see his or her pediatrician or family doctor. In some cases, you may be referred immediately to a specialist, such as a pediatric psychiatrist or other mental health professional who's an expert in schizophrenia.
In rare cases where safety is an issue, your child may require an emergency evaluation in the emergency room and possibly admission for psychiatric care in a hospital."
Benign adrenal tumors,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/diagnosis-treatment/drc-20567035,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/doctors-departments/ddc-20356192,Benign adrenal tumors often are found by chance on imaging that's done for another reason. A healthcare professional then looks at how likely the tumor is to be cancer and whether it's making too much hormone.,"Benign adrenal tumors often don't need treatment. Treatment depends on how likely the tumor is to become cancer. Treatment also might depend on whether the tumor is making hormones, the type of hormone it makes and how much it's making.
Treatment for small benign adrenal tumors that aren't making hormones might involve watching the tumor. There might be repeat imaging tests 3 to 6 months after diagnosis, and then every one or two years. Watching also might involve testing hormones every year for five years.
If the tumor is getting bigger or causing symptoms, the symptoms might be treated with medicines. Medicines also might be used to treat symptoms such as high blood pressure before surgery.
Surgery to remove the adrenal gland, called adrenalectomy, might be used to treat a benign adrenal tumor. The surgery may be done laparoscopically if the tumor is small and not likely to be cancer.",,"You might start by seeing your primary healthcare professional. Or you might be sent to a specialist in the endocrine system, called an endocrinologist.
Here's some information to help you get ready for your appointment."
Autoimmune encephalitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/symptoms-causes/syc-20576380,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/diagnosis-treatment/drc-20576406,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/doctors-departments/ddc-20576425,"Autoimmune encephalitis diagnosis involves a review of your symptoms, a physical exam and several tests. It's important to get an accurate diagnosis because autoimmune encephalitis, also known as AE, can be mistaken for other diseases.
Experts have created autoimmune encephalitis criteria to help healthcare professionals diagnose people with AE. Healthcare professionals look for patterns of symptoms that signal AE. They also test for signs that antibodies are attacking receptors in the brain to cause AE.
Tests also help rule out other possible causes of your symptoms, such as infections or other autoimmune conditions.
Sometimes people are incorrectly diagnosed with autoimmune encephalitis. It's important for healthcare professionals to consider all potential conditions when making a diagnosis.","Autoimmune encephalitis treatment focuses on the immune system, which is mistakenly attacking brain cells. If a tumor is causing autoimmune encephalitis, the first step is to diagnose and treat the tumor.",,"Autoimmune encephalitis can cause serious symptoms that need emergency medical care. Your healthcare team includes specialists, including doctors who specialize in the brain and nervous system, known as neurologists.
If your symptoms aren't as serious, you might start by seeing your regular healthcare professional. Your healthcare professional may refer you to a neurologist or another specialist. Here's some information to help you get ready for your appointment."
Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060,,"To diagnose acute flaccid myelitis, the doctor starts with a thorough medical history and physical exam. The doctor might recommend:

Acute flaccid myelitis can be hard to diagnose because it shares many of the same symptoms as other neurological diseases, such as Guillain-Barre syndrome. These tests can help distinguish acute flaccid myelitis from other conditions.","Currently, there is no specific treatment for acute flaccid myelitis. Treatment is aimed at managing symptoms.

A doctor who specializes in treating brain and spinal cord illnesses (neurologist) might recommend physical or occupational therapy to help with arm or leg weakness. If physical therapy is started during the initial phase of the illness, it might improve long-term recovery.

The doctor might also recommend treatment with immunoglobulin that contains healthy antibodies from healthy donors, drugs that lower inflammation in the body (corticosteroids) or antiviral drugs. Or the doctor might recommend a treatment that removes and replaces blood plasma (plasma exchange). However, it's not clear whether these treatments have any benefits.

Sometimes nerve and muscle transfer surgeries are done to improve limb function.",,"If you have symptoms of acute flaccid myelitis, seek immediate medical care.

Here's some information to help you get ready for your appointment."
Dry macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/diagnosis-treatment/drc-20350381,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/doctors-departments/ddc-20350384,"An eye care professional may diagnose dry macular degeneration by reviewing medical and family history and doing a complete eye exam. Other tests may be done, including:
Examination of the back of the eye.An eye doctor puts drops in the eyes to dilate them and uses a special tool to examine the back of the eye. The eye doctor looks for a mottled appearance that's caused by yellow deposits that form under the retina, called drusen. People with macular degeneration often have many drusen.
A test for changes in the center of the vision field.An Amsler grid may be used to test for changes in the center of the vision field. If you have macular degeneration, some of the straight lines in the grid may look faded, broken or distorted.
Fluorescein angiography.During this test, an eye doctor injects a dye into a vein in the arm. The dye travels to and highlights the blood vessels in the eye. A special camera takes pictures as the dye travels through the blood vessels. The images may show retinal or blood vessel changes.
Indocyanine green angiography.Like fluorescein angiography, this test uses an injected dye. It may be used alongside a fluorescein angiogram to identify specific types of macular degeneration.
Optical coherence tomography.This noninvasive imaging test displays detailed cross sections of the retina. It identifies areas of thinning, thickening or swelling. These can be caused by fluid buildup from leaking blood vessels in and under the retina.","For now, there's no way to reverse damage from dry macular degeneration. However, there are many clinical trials in progress. If the condition is diagnosed early, you can take steps to help slow its progression, such as taking vitamin supplements, eating healthy and not smoking.","These tips may help you cope with your changing vision:
Get your eyeglass prescription checked.If you wear contacts or glasses, be sure your prescription is up to date. If new glasses don't help, ask for a referral to a low vision specialist.
Use magnifiers.A variety of magnifying devices can help you with reading and other close-up work, such as sewing. Such devices include hand-held magnifying lenses or magnifying lenses you wear like glasses.You also may use a closed-circuit television system that uses a video camera to magnify reading material and project it on a video screen.
Change your computer display and add audio systems.Adjust the font size in your computer's settings. And adjust your monitor to show more contrast. You also may add speech-output systems or other technologies to your computer.
Use electronic reading aids and voice interfaces.Try large-print books, tablet computers and audiobooks. Some tablet and smartphone apps are designed to help people with low vision. And many of these devices now come with voice recognition features.
Select special appliances made for low vision.Some clocks, radios, telephones and other appliances have extra-large numbers. You may find it easier to watch a television with a larger high-definition screen, or you may want to sit closer to the screen.
Use brighter lights in your home.Better lighting helps with reading and other daily activities, and it may reduce the risk of falling.
Consider your transportation options.If you drive, check with your doctor to see if it's safe to continue doing so. Be extra cautious in certain situations, such as driving at night, in heavy traffic or in bad weather. Use public transportation or ask family members to help, especially with night driving. Or use local van or shuttle services, volunteer driving networks, or ride-sharing.
Get support.Having macular degeneration can be difficult, and you may need to make changes in your life. You may go through many emotions as you adjust. Consider talking to a counselor or joining a support group. Spend time with supportive family members and friends.",You likely will need a dilated eye exam to check for macular degeneration. Make an appointment for a complete eye exam with a doctor who specializes in eye care — an optometrist or an ophthalmologist.
"Macular degeneration, wet",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/diagnosis-treatment/drc-20351113,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/doctors-departments/ddc-20351115,"To diagnose wet macular degeneration, an eye doctor typically reviews medical and family history and does a complete eye exam. To confirm a diagnosis of macular degeneration, an eye doctor may suggest other tests, including:
Examination of the back of the eye.An eye doctor puts drops in the eyes to dilate them and uses a special tool to examine the back of the eye. The eye doctor looks for a mottled appearance that's caused by yellow deposits that form under the retina, called drusen. People with macular degeneration often have many drusen.
A test for changes in the center of the vision field.An Amsler grid may be used to test for changes in the center of the vision field. In macular degeneration, some of the straight lines in the grid may look faded, broken or distorted.
Fluorescein angiography.During this test, an eye doctor injects a dye into a vein in the arm. The dye travels to and highlights the blood vessels in the eye. A special camera takes pictures as the dye travels through the blood vessels. The images may show leaking blood vessels or retinal changes.
Indocyanine green angiography.Like fluorescein angiography, this test uses an injected dye. It may be used to confirm the findings of a fluorescein angiography or to identify problem blood vessels deeper in the retina.
Optical coherence tomography.This noninvasive imaging test displays detailed cross sections of the retina. It identifies areas of thinning, thickening or swelling. This test also is used to help monitor how the retina responds to macular degeneration treatments.
Optical coherence tomography (OCT) angiography.This noninvasive imaging test displays detailed cross sections of the retina. It identifies areas of thinning, thickening or swelling. These can be caused by fluid buildup from leaking blood vessels in and under the retina.","Treatments are available that may help slow disease progression and preserve existing vision. If started early enough, treatment may recover some lost vision.","Vision loss from macular degeneration can affect the ability to do things such as read, recognize faces and drive. These tips may help to cope with changing vision:
Get your eyeglass prescription checked.If you wear contacts or glasses, be sure your prescription is up to date. If new glasses don't help, ask for a referral to a low vision specialist.
Use magnifiers.A variety of magnifying devices can help you with reading and other close-up work, such as sewing. Such devices include hand-held magnifying lenses or magnifying lenses you wear like glasses.You also may use a closed-circuit television system that uses a video camera to magnify reading material and project it on a video screen.
Change your computer display and add audio systems.Adjust the font size in your computer's settings. And adjust your monitor to show more contrast. You also may add speech-output systems or other technologies to your computer.
Use electronic reading aids and voice interfaces.Try large-print books, tablet computers and audiobooks. Some tablet and smartphone apps are designed to help people with low vision. And many of these devices now come with voice recognition features.
Select special appliances made for low vision.Some clocks, radios, telephones and other appliances have extra-large numbers. You may find it easier to watch a television with a larger high-definition screen, or you may want to sit closer to the screen.
Use brighter lights in your home.Better lighting helps with reading and other daily activities, and it may reduce the risk of falling.
Consider your transportation options.If you drive, check with your doctor to see if it's safe to continue doing so. Be extra cautious in certain situations, such as driving at night, in heavy traffic or in bad weather. Use public transportation or ask a friend or family member to help, especially with night driving. Or use local van or shuttle services, volunteer driving networks, or ride-sharing.
Get support.Having macular degeneration can be difficult, and you may need to make changes in your life. You may go through many emotions as you adjust. Consider talking to a counselor or joining a support group. Spend time with supportive family members and friends.","You likely will need a dilated eye exam to check for macular degeneration. Make an appointment with a doctor who specializes in eye care, such as an optometrist or an ophthalmologist. An eye doctor can perform a complete eye exam."
Myelofibrosis,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/diagnosis-treatment/drc-20355062,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/doctors-departments/ddc-20355064,Myelofibrosis diagnosis often starts with a physical exam. Other tests that can help diagnose this bone marrow cancer include blood tests and imaging tests. A healthcare professional may take a sample of your bone marrow for testing.,"Treatments for myelofibrosis include blood transfusions and medicines, such as chemotherapy and targeted therapy. Other treatments include surgery to remove the spleen, radiation therapy and bone marrow transplant, also called stem cell transplant.
The goal of treatment for most people with myelofibrosis is to provide relief from symptoms of the disease. For some, a bone marrow transplant, also called a stem cell transplant, may provide a chance for a cure. This treatment can be very hard on the body, and it might not be an option for many people.
To find out which myelofibrosis treatments are most likely to benefit you, your healthcare professional may use one or more formulas to assess your condition. These formulas take into account many aspects of your cancer and your overall health. A healthcare professional may assign a risk category that indicates how serious your condition is.
A lower risk myelofibrosis might grow slowly. Treatment might not be needed right away, or treatment might focus on controlling any symptoms. A higher risk myelofibrosis might be getting worse quickly. People with higher risk myelofibrosis might consider stronger treatments, such as a bone marrow transplant.","A myelofibrosis diagnosis can cause strong feelings. Some people say they felt shocked, scared or sad when they got their diagnosis. With time, each person finds a way to cope with these feelings. Until you find what works for you, here are some ideas to help you cope.","Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you. If your healthcare professional thinks that you have myelofibrosis, that person may refer you to a specialist. Often, this is a doctor who specializes in blood diseases, called a hematologist.
Appointments can be short and being prepared can help. Here's some information that may help you get ready."
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/doctors-departments/ddc-20363037,"Guillain-Barre syndrome can be hard to diagnose in its earliest stages. Its symptoms are similar to those of other conditions and may vary from person to person.
Your healthcare professional starts with a medical history and thorough physical exam.
Your healthcare professional may then recommend:
Spinal tap, also known as a lumbar puncture.A small amount of fluid is withdrawn from the spinal canal in your lower back. The fluid is tested for a type of change that commonly occurs in people who have Guillain-Barre syndrome.
Electromyography.Thin-needle electrodes are inserted into the muscles to measure nerve activity.
Nerve conduction studies.Electrodes are taped to the skin above your nerves. A small shock is passed through the nerve to measure the speed of nerve signals.","There's no cure for Guillain-Barre syndrome. But two types of treatments can speed recovery and reduce symptoms:
Plasma exchange, also known as plasmapheresis.Plasma is the liquid portion of part of your blood. In a plasma exchange, plasma is removed and separated from your blood cells. The blood cells are then put back into your body, which makes more plasma to replace what was removed. Plasmapheresis may work by ridding plasma of certain antibodies that contribute to the immune system's attack on the peripheral nerves.
Immunoglobulin therapy.Immunoglobulin containing healthy antibodies from blood donors is given through a vein. High doses of immunoglobulin can block the damaging antibodies that may contribute to Guillain-Barre syndrome.
These treatments are equally effective. Mixing them or using one after the other is no more effective than using either method alone.
You are also likely to be given medicine to:
Relieve pain, which can be severe.
Prevent blood clots, which can develop if you're not mobile.
People with Guillain-Barre syndrome need physical help and therapy before and during recovery. Your care may include:
Movement of your arms and legs by caregivers before recovery, to help keep your muscles flexible and strong.
Physical therapy during recovery to help you cope with fatigue and regain strength and proper movement.
Training with adaptive devices, such as a wheelchair or braces, to give you mobility and self-care skills.","A diagnosis of Guillain-Barre syndrome can be emotionally hard. Although most people eventually recover fully, the condition is generally painful and requires hospitalization and months of rehabilitation. People with Guillain-Barre syndrome must adjust to limited mobility and fatigue.
To manage the stress of recovery from Guillain-Barre syndrome, consider these suggestions:
Maintain a strong support system of friends and family.
Contact a support group, for yourself or for family members.
Discuss your feelings and concerns with a counselor.","You may be referred to a doctor who specializes in disorders of the brain and nervous system, known as a neurologist."
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,https://www.mayoclinic.org/diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531,https://www.mayoclinic.org/diseases-conditions/hiv-aids/doctors-departments/ddc-20373532,"HIVcan be diagnosed through blood or saliva testing. Tests include:
Antigen-antibody tests.These tests most often use blood from a vein. Antigens are substances on theHIVvirus itself. They most often show up in the blood within a few weeks after being exposed toHIV.The immune system makes antibodies when it's exposed toHIV. It can take weeks to months for antibodies to show up in blood. You may not show a positive result on an antigen-antibody test until 2 to 6 weeks after exposure toHIV.
Antibody tests.These tests look for antibodies toHIVin blood or saliva. Most rapidHIVtests are antibody tests. This includes self-tests done at home. You may not show a positive result on an antibody test until 3 to 12 weeks after you've been exposed toHIV.
Nucleic acid tests (NATs).These tests look for the virus in your blood, called viral load. They use blood from a vein.If you might have been exposed toHIVwithin the past few weeks, your healthcare professional may suggestNAT.NATis the first test to become positive after exposure toHIV.
Talk with your healthcare professional about whichHIVtest is right for you. If any of these tests are negative, you may need a follow-up test weeks to months later to confirm the results.","There's no cure forHIV/AIDS. Once you have the infection, your body can't get rid of it. But there are medicines that can controlHIVand prevent complications.
Everyone diagnosed withHIVshould take antiretroviral therapy medicines, also called ART. This is true no matter what stage the disease is in or what the complications are.
ARTis usually a mix of two or more medicines from several classes. This approach has the best chance of lowering the amount ofHIVin the blood. There are manyARToptions that mix more than oneHIVmedicine into a single pill, taken once daily.
Each class of medicines blocks the virus in different ways. Treatment involves mixing medicines from different classes to:
Account for medicine resistance, called viral genotype.
Keep from creating new medicine-resistant strains ofHIV.
Suppress the virus in the blood as much as possible.
Two medicines from one class, plus a third medicine from another class, are most often used.
The classes of anti-HIVmedicines include the following:
Non-nucleoside reverse transcriptase inhibitors (NNRTIs)turn off a protein needed byHIVto make copies of itself.Examples include efavirenz, rilpivirine (Edurant) and doravirine (Pifeltro).
Nucleoside or nucleotide reverse transcriptase inhibitors (NRTIs)are faulty versions of the building blocks thatHIVneeds to make copies of itself.Examples include abacavir (Ziagen), tenofovir disoproxil fumarate (Viread), emtricitabine (Emtriva), lamivudine (Epivir) and zidovudine (Retrovir). Retrovir is no longer suggested for routine use in the U.S. because of high rates of toxic effects.Mixes of medicines also are available, such as emtricitabine-tenofovir disoproxil fumarate (Truvada) and emtricitabine-tenofovir alafenamide fumarate (Descovy).
Protease inhibitors (PIs)makeHIVprotease inactive.HIVprotease is another protein thatHIVneeds to make copies of itself.Examples include atazanavir (Reyataz), darunavir (Prezista) and lopinavir-ritonavir (Kaletra).
Integrase inhibitorsstop the action of a protein called integrase.HIVuses integrase to put its genetic material into CD4 T cells.Examples include bictegravir sodium-emtricitabine-tenofovir alafenamide fumarate (Biktarvy), raltegravir (Isentress), dolutegravir (Tivicay) and cabotegravir (Vocabria).
Entry or fusion inhibitorsblockHIV'sentry into CD4 T cells.Examples include enfuvirtide (Fuzeon) and maraviroc (Selzentry). Newer medicines include ibalizumab-uiyk (Trogarzo) and fostemsavir (Rukobia).","Getting a diagnosis of any life-threatening illness can cause distress. The emotional, social and financial effects ofHIV/AIDScan make coping with this illness very hard for you and for those close to you.
But there are many services and resources for people withHIV. MostHIV/AIDSclinics have social workers, counselors or nurses who can help you or put you in touch with people who can help you.
They may be able to:
Arrange transportation to and from medical appointments.
Help with housing and child care.
Assist with employment and legal issues.
Provide support during financial crises.
It's important to have a support system. Many people withHIV/AIDSfind that talking with someone who knows about their disease gives them comfort.","If you think you might have anHIVinfection, you're likely to start by seeing your family healthcare professional. You may be sent to an infectious disease specialist who focuses on treatingHIV/AIDS."
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/doctors-departments/ddc-20369252,"You're likely to start by seeing your primary health care provider. If your provider suspects that you have a problem with alcohol, you may be referred to a mental health provider.
To assess your problem with alcohol, your provider will likely:
Ask you some questions related to your drinking habits.The provider may ask for permission to speak with family members or friends. However, confidentiality laws prevent your provider from giving out any information about you without your consent.
Perform a physical exam.Your health care provider may do a physical exam and ask questions about your health. There are many physical signs that indicate complications of alcohol use.
Suggest lab tests and imaging tests.While there are no specific tests to diagnose alcohol use disorder, certain patterns of lab test results may strongly suggest it. And you may need tests to identify health problems that may be linked to your alcohol use. Damage to your organs may be seen on tests.
Complete a psychological evaluation.This evaluation includes questions about your symptoms, thoughts, feelings and behavior patterns. You may be asked to complete a questionnaire to help answer these questions.","Treatment for alcohol use disorder can vary, depending on your needs. Treatment may involve a brief intervention, individual or group counseling, an outpatient program, or a residential inpatient stay. Working to stop alcohol use to improve quality of life is the main treatment goal.
Treatment for alcohol use disorder may include:
Detox and withdrawal.Treatment may begin with a program of detoxification — withdrawal that's medically managed. Sometimes called detox, this generally takes 2 to 7 days. You may need to take sedating medications to prevent withdrawal symptoms. Detox is usually done at an inpatient treatment center or a hospital.
Learning new skills and making a treatment plan.This process usually involves alcohol treatment specialists. It may include goal setting, behavior change techniques, use of self-help manuals, counseling and follow-up care at a treatment center.
Psychological counseling.Counseling and therapy for groups and individuals help you better understand your problem with alcohol and support recovery from the psychological aspects of alcohol use. You may benefit from couples or family therapy — family support can be an important part of the recovery process.
Oral medications.A drug called disulfiram may help prevent you from drinking, although it won't cure alcohol use disorder or remove the urge to drink. If you drink alcohol while taking disulfiram, the drug produces a physical reaction that may include flushing, nausea, vomiting and headaches.Naltrexone, a drug that blocks the good feelings alcohol causes, may prevent heavy drinking and reduce the urge to drink. Acamprosate may help you combat alcohol cravings once you stop drinking. Unlike disulfiram, naltrexone and acamprosate don't make you feel sick after taking a drink.
Injected medication.Vivitrol, a version of the drug naltrexone, is injected once a month by a health care professional. Although similar medication can be taken in pill form, the injectable version of the drug may be easier for people recovering from alcohol use disorder to use consistently.
Continuing support.Aftercare programs and support groups help people recovering from alcohol use disorder to stop drinking, manage relapses and cope with necessary lifestyle changes. This may include medical or psychological care or attending a support group.
Treatment for psychological problems.Alcohol use disorder commonly occurs along with other mental health disorders. If you have depression, anxiety or another mental health condition, you may need talk therapy (psychotherapy), medications or other treatment.
Medical treatment for health conditions.Many alcohol-related health problems improve significantly once you stop drinking. But some health conditions may warrant continued treatment and follow-up care.
Spiritual practice.People who are involved with some type of regular spiritual practice may find it easier to maintain recovery from alcohol use disorder or other addictions. For many people, gaining greater insight into their spiritual side is a key element in recovery.","Many people with alcohol problems and their family members find that participating in support groups is an essential part of coping with the disease, preventing or dealing with relapses, and staying sober. Your health care provider or counselor can suggest a support group. These groups are also often listed on the web.
Here are a few examples:
Alcoholics Anonymous.Alcoholics Anonymous (AA) is a self-help group for people recovering from alcoholism. AA offers a sober peer group and is built around 12 steps as an effective model for achieving total abstinence.
Women for Sobriety.Women for Sobriety is a nonprofit organization offering a self-help group program for women who want to overcome alcoholism and other addictions. It focuses on developing coping skills related to emotional and spiritual growth, self-esteem, and a healthy lifestyle.
Al-Anon and Alateen.Al-Anon is designed for people who are affected by someone else's alcoholism. Alateen groups are available for teenage children of those with alcoholism. In sharing their stories, family members gain a greater understanding of how the disease affects the entire family.
Celebrate Recovery.Celebrate Recovery is a Christ-centered, 12-step recovery program for people struggling with addiction.
SMART Recovery.SMART Recovery offers mutual support meetings for people seeking science-based, self-empowered addiction recovery.","Here's some information to help you get ready for your appointment, and what to expect from your health care provider or mental health provider.
Consider your drinking habits. Take an honest look at how often and how much you drink. Be prepared to discuss any problems that alcohol may be causing. You may want to take a family member or friend along, if possible.
Before your appointment, make a list of:
Any symptoms you've had,including any that may seem unrelated to your drinking
Key personal information,including any major stresses or recent life changes
All medications,vitamins, herbs or other supplements that you're taking and their dosages
Questions to askyour provider
Some questions to ask include:
Do you think I drink too much or show signs of problem drinking?
Do you think I need to cut back or quit drinking?
Do you think alcohol could be causing or worsening my other health problems?
What's the best course of action?
What are the alternatives to the approach that you're suggesting?
Do I need any medical tests for underlying physical problems?
Are there any brochures or other printed material that I can have? What websites do you recommend?
Would it be helpful for me to meet with a professional experienced in alcohol treatment?
Don't hesitate to ask any other questions."
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/diagnosis-treatment/drc-20351394,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/doctors-departments/ddc-20351395,"Your healthcare professional does a physical exam and asks about your alcohol use, now and in the past. Be honest about your drinking. Your care professional might ask to talk to family members about your drinking.
Diagnosing liver disease might involve these tests:
Liver function tests.
Blood tests.
An ultrasound,CTorMRIscan of the liver.
A liver biopsy, if other tests and imaging don't give a clear diagnosis or if you are at risk of other causes of hepatitis.",Treatment for alcoholic hepatitis involves quitting drinking as well as therapies to ease the symptoms of liver damage.,,"You might be referred to a digestive disease specialist, called a gastroenterologist."
