disease,main_link,Diagnosis_treatment_link,Doctors_departments_link
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061,
Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061,
Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,https://www.mayoclinic.org/diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053,https://www.mayoclinic.org/diseases-conditions/kidney-failure/doctors-departments/ddc-20369054
ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,https://www.mayoclinic.org/diseases-conditions/ards/diagnosis-treatment/drc-20355581,https://www.mayoclinic.org/diseases-conditions/ards/doctors-departments/ddc-20355584
Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/diagnosis-treatment/drc-20351677,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/doctors-departments/ddc-20351680
Autoimmune epilepsy,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/symptoms-causes/syc-20576892,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/diagnosis-treatment/drc-20576912,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/doctors-departments/ddc-20576934
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/doctors-departments/ddc-20369252
Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/diagnosis-treatment/drc-20355184,
Nicotine dependence,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/diagnosis-treatment/drc-20351590,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/doctors-departments/ddc-20351594
Mesenteric lymphadenitis,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/diagnosis-treatment/drc-20353803,
Attention-deficit/hyperactivity disorder (ADHD) in children,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,https://www.mayoclinic.org/diseases-conditions/adhd/diagnosis-treatment/drc-20350895,https://www.mayoclinic.org/diseases-conditions/adhd/doctors-departments/ddc-20350899
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,https://www.mayoclinic.org/diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883,
Frozen shoulder,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/diagnosis-treatment/drc-20372690,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/doctors-departments/ddc-20372691
Childhood schizophrenia,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/diagnosis-treatment/drc-20354489,
Benign adrenal tumors,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/diagnosis-treatment/drc-20567035,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/doctors-departments/ddc-20356192
Autoimmune encephalitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/symptoms-causes/syc-20576380,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/diagnosis-treatment/drc-20576406,https://www.mayoclinic.org/diseases-conditions/autoimmune-encephalitis/doctors-departments/ddc-20576425
Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060,
Dry macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/diagnosis-treatment/drc-20350381,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/doctors-departments/ddc-20350384
"Macular degeneration, wet",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/diagnosis-treatment/drc-20351113,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/doctors-departments/ddc-20351115
Myelofibrosis,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/diagnosis-treatment/drc-20355062,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/doctors-departments/ddc-20355064
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/doctors-departments/ddc-20363037
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,https://www.mayoclinic.org/diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531,https://www.mayoclinic.org/diseases-conditions/hiv-aids/doctors-departments/ddc-20373532
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/doctors-departments/ddc-20369252
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/diagnosis-treatment/drc-20351394,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/doctors-departments/ddc-20351395
Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/diagnosis-treatment/drc-20353765,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/doctors-departments/ddc-20353768
Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/diagnosis-treatment/drc-20353765,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/doctors-departments/ddc-20353768
Hay fever,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,https://www.mayoclinic.org/diseases-conditions/hay-fever/diagnosis-treatment/drc-20373045,https://www.mayoclinic.org/diseases-conditions/hay-fever/doctors-departments/ddc-20373046
Dust mite allergy,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,https://www.mayoclinic.org/diseases-conditions/dust-mites/diagnosis-treatment/drc-20352178,
Egg allergy,https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115,https://www.mayoclinic.org/diseases-conditions/egg-allergy/diagnosis-treatment/drc-20372119,
Food allergy,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,https://www.mayoclinic.org/diseases-conditions/food-allergy/diagnosis-treatment/drc-20355101,https://www.mayoclinic.org/diseases-conditions/food-allergy/doctors-departments/ddc-20355105
Latex allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,https://www.mayoclinic.org/diseases-conditions/latex-allergy/diagnosis-treatment/drc-20374291,https://www.mayoclinic.org/diseases-conditions/latex-allergy/doctors-departments/ddc-20374292
Milk allergy,https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101,https://www.mayoclinic.org/diseases-conditions/milk-allergy/diagnosis-treatment/drc-20375106,
Mold allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,https://www.mayoclinic.org/diseases-conditions/mold-allergy/diagnosis-treatment/drc-20351525,
Nickel allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/diagnosis-treatment/drc-20351534,
Peanut allergy,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/diagnosis-treatment/drc-20376181,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/doctors-departments/ddc-20376182
Penicillin allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/diagnosis-treatment/drc-20376226,
Pet allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,https://www.mayoclinic.org/diseases-conditions/pet-allergy/diagnosis-treatment/drc-20352198,https://www.mayoclinic.org/diseases-conditions/pet-allergy/doctors-departments/ddc-20352200
Shellfish allergy,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/diagnosis-treatment/drc-20377507,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/doctors-departments/ddc-20377508
Wheat allergy,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/symptoms-causes/syc-20378897,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/diagnosis-treatment/drc-20378902,
Hair loss,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,https://www.mayoclinic.org/diseases-conditions/hair-loss/doctors-departments/ddc-20372934
Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/diagnosis-treatment/drc-20354027,https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/doctors-departments/ddc-20354029
Dry socket,https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376,https://www.mayoclinic.org/diseases-conditions/dry-socket/diagnosis-treatment/drc-20354382,
Atypical genitalia,https://www.mayoclinic.org/diseases-conditions/atypical-genitalia/symptoms-causes/syc-20369273,https://www.mayoclinic.org/diseases-conditions/atypical-genitalia/diagnosis-treatment/drc-20369278,
Lazy eye (amblyopia),https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391,https://www.mayoclinic.org/diseases-conditions/lazy-eye/diagnosis-treatment/drc-20352396,https://www.mayoclinic.org/diseases-conditions/lazy-eye/doctors-departments/ddc-20352397
Chagas disease,https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212,https://www.mayoclinic.org/diseases-conditions/chagas-disease/diagnosis-treatment/drc-20356218,
Transient global amnesia,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/diagnosis-treatment/drc-20378535,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/doctors-departments/ddc-20378536
Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,https://www.mayoclinic.org/diseases-conditions/amnesia/diagnosis-treatment/drc-20353366,
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,https://www.mayoclinic.org/diseases-conditions/amyloidosis/diagnosis-treatment/drc-20353183,https://www.mayoclinic.org/diseases-conditions/amyloidosis/doctors-departments/ddc-20353186
Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/diagnosis-treatment/drc-20355020,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/doctors-departments/ddc-20355023
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,https://www.mayoclinic.org/diseases-conditions/thalassemia/diagnosis-treatment/drc-20355001,https://www.mayoclinic.org/diseases-conditions/thalassemia/doctors-departments/ddc-20355004
Iron deficiency anemia,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/diagnosis-treatment/drc-20355040,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/doctors-departments/ddc-20355041
Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,https://www.mayoclinic.org/diseases-conditions/thalassemia/diagnosis-treatment/drc-20355001,https://www.mayoclinic.org/diseases-conditions/thalassemia/doctors-departments/ddc-20355004
Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/diagnosis-treatment/drc-20355882,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/doctors-departments/ddc-20355885
Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/diagnosis-treatment/drc-20355031,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/doctors-departments/ddc-20355032
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/diagnosis-treatment/drc-20350693,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/doctors-departments/ddc-20350695
Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472,,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/doctors-departments/ddc-20369475
Brain aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/diagnosis-treatment/drc-20361595,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/doctors-departments/ddc-20361659
Popliteal artery aneurysm,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/symptoms-causes/syc-20355432,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/diagnosis-treatment/drc-20528724,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/doctors-departments/ddc-20355434
Thoracic aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/diagnosis-treatment/drc-20350193,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/doctors-departments/ddc-20350196
Vasculitis,https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435,https://www.mayoclinic.org/diseases-conditions/vasculitis/diagnosis-treatment/drc-20363485,https://www.mayoclinic.org/diseases-conditions/vasculitis/doctors-departments/ddc-20363525
Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/diagnosis-treatment/drc-20350630,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/doctors-departments/ddc-20350632
Hyperhidrosis,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/diagnosis-treatment/drc-20367173,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/doctors-departments/ddc-20367288
Bartholin's cyst,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/diagnosis-treatment/drc-20369981,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/doctors-departments/ddc-20369982
Infant reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/diagnosis-treatment/drc-20351412,
Hidradenitis suppurativa,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/diagnosis-treatment/drc-20352311,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/doctors-departments/ddc-20352315
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,https://www.mayoclinic.org/diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531,https://www.mayoclinic.org/diseases-conditions/hiv-aids/doctors-departments/ddc-20373532
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/doctors-departments/ddc-20363037
Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,https://www.mayoclinic.org/diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053,https://www.mayoclinic.org/diseases-conditions/kidney-failure/doctors-departments/ddc-20369054
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/doctors-departments/ddc-20369085
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/doctors-departments/ddc-20369085
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061,
Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061,
Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,https://www.mayoclinic.org/diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053,https://www.mayoclinic.org/diseases-conditions/kidney-failure/doctors-departments/ddc-20369054
ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,https://www.mayoclinic.org/diseases-conditions/ards/diagnosis-treatment/drc-20355581,https://www.mayoclinic.org/diseases-conditions/ards/doctors-departments/ddc-20355584
Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/diagnosis-treatment/drc-20351677,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/doctors-departments/ddc-20351680
Autoimmune epilepsy,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/symptoms-causes/syc-20576892,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/diagnosis-treatment/drc-20576912,https://www.mayoclinic.org/diseases-conditions/autoimmune-epilepsy/doctors-departments/ddc-20576934
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/doctors-departments/ddc-20369252
Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/diagnosis-treatment/drc-20355184,
Nicotine dependence,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/diagnosis-treatment/drc-20351590,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/doctors-departments/ddc-20351594
Mesenteric lymphadenitis,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/diagnosis-treatment/drc-20353803,
Attention-deficit/hyperactivity disorder (ADHD) in children,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,https://www.mayoclinic.org/diseases-conditions/adhd/diagnosis-treatment/drc-20350895,https://www.mayoclinic.org/diseases-conditions/adhd/doctors-departments/ddc-20350899
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,https://www.mayoclinic.org/diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883,
